#1	
double	presence(8760,2)
4953600	0.655
4957200	0.552
4960800	0.448
4964400	0.31
4968000	0.586
4971600	0.655
4975200	0.552
4978800	0.483
4982400	0.448
4986000	0.483
4989600	0.517
4993200	0.69
4996800	0.759
5000400	0.793
5004000	0.793
5007600	0.966
5011200	1
5014800	1
5018400	1
5022000	1
5025600	1
5029200	1
5032800	0.862
5036400	0.621
5040000	0.483
5043600	0.172
5047200	0.207
5050800	0.172
5054400	0.345
5058000	0.517
5061600	0.345
5065200	0.379
5068800	0.345
5072400	0.448
5076000	0.483
5079600	0.69
5083200	0.862
5086800	0.862
5090400	1
5094000	1
5097600	1
5101200	1
5104800	1
5108400	1
5112000	1
5115600	1
5119200	0.862
5122800	0.621
5126400	0.483
5130000	0.172
5133600	0.207
5137200	0.172
5140800	0.345
5144400	0.517
5148000	0.345
5151600	0.379
5155200	0.345
5158800	0.448
5162400	0.483
5166000	0.69
5169600	0.862
5173200	0.862
5176800	1
5180400	1
5184000	1
5187600	1
5191200	1
5194800	1
5198400	1
5202000	1
5205600	0.862
5209200	0.621
5212800	0.483
5216400	0.172
5220000	0.207
5223600	0.172
5227200	0.345
5230800	0.517
5234400	0.345
5238000	0.379
5241600	0.345
5245200	0.448
5248800	0.483
5252400	0.69
5256000	0.862
5259600	0.862
5263200	1
5266800	1
5270400	1
5274000	1
5277600	1
5281200	1
5284800	1
5288400	1
5292000	0.862
5295600	0.621
5299200	0.483
5302800	0.172
5306400	0.207
5310000	0.172
5313600	0.345
5317200	0.517
5320800	0.345
5324400	0.379
5328000	0.345
5331600	0.448
5335200	0.483
5338800	0.69
5342400	0.862
5346000	0.862
5349600	1
5353200	1
5356800	1
5360400	1
5364000	1
5367600	1
5371200	1
5374800	1
5378400	0.862
5382000	0.621
5385600	0.483
5389200	0.172
5392800	0.207
5396400	0.172
5400000	0.345
5403600	0.517
5407200	0.345
5410800	0.379
5414400	0.345
5418000	0.448
5421600	0.483
5425200	0.69
5428800	0.862
5432400	0.862
5436000	1
5439600	1
5443200	0.966
5446800	0.966
5450400	0.966
5454000	1
5457600	1
5461200	0.966
5464800	0.822
5468400	0.724
5472000	0.655
5475600	0.552
5479200	0.448
5482800	0.31
5486400	0.586
5490000	0.655
5493600	0.552
5497200	0.483
5500800	0.448
5504400	0.483
5508000	0.517
5511600	0.69
5515200	0.759
5518800	0.793
5522400	0.793
5526000	0.966
5529600	0.966
5533200	0.966
5536800	0.966
5540400	1
5544000	1
5547600	0.966
5551200	0.822
5554800	0.724
5558400	0.655
5562000	0.552
5565600	0.448
5569200	0.31
5572800	0.586
5576400	0.655
5580000	0.552
5583600	0.483
5587200	0.448
5590800	0.483
