#1	
double	Pel(1441,2)
4852800	46.875
4856400	48.8
4860000	59.25
4863600	97.9
4867200	129.725
4870800	141.625
4874400	144.075
4878000	139.25
4881600	141.95
4885200	157.8
4888800	152.7
4892400	131.775
4896000	118.775
4899600	114.775
4903200	122.5
4906800	142.175
4910400	165.15
4914000	166.575
4917600	157.525
4921200	144.5
4924800	112.075
4928400	73.6
4932000	54.8
4935600	49.8
4939200	46.9
4942800	48.8
4946400	59.3
4950000	97.9
4953600	129.7
4957200	141.6
4960800	144.1
4964400	139.3
4968000	142.0
4971600	157.8
4975200	152.7
4978800	131.8
4982400	118.8
4986000	114.8
4989600	122.5
4993200	142.2
4996800	165.2
5000400	166.6
5004000	157.5
5007600	144.5
5011200	112.1
5014800	73.6
5018400	54.8
5022000	49.8
5025600	46.9
5029200	48.8
5032800	59.3
5036400	97.9
5040000	129.7
5043600	141.6
5047200	144.1
5050800	139.3
5054400	142.0
5058000	157.8
5061600	152.7
5065200	131.8
5068800	118.8
5072400	114.8
5076000	122.5
5079600	142.2
5083200	165.2
5086800	166.6
5090400	157.5
5094000	144.5
5097600	112.1
5101200	73.6
5104800	54.8
5108400	49.8
5112000	46.9
5115600	48.8
5119200	59.3
5122800	97.9
5126400	129.7
5130000	141.6
5133600	144.1
5137200	139.3
5140800	142.0
5144400	157.8
5148000	152.7
5151600	131.8
5155200	118.8
5158800	114.8
5162400	122.5
5166000	142.2
5169600	165.2
5173200	166.6
5176800	157.5
5180400	144.5
5184000	112.1
