#1	
double	Pel(35040,2)
1500300	164.65
1501200	160.88
1502100	156.95
1503000	153.06
1503900	149.89
1504800	147.77
1505700	146.37
1506600	145.76
1507500	145.76
1508400	146.29
1509300	147.37
1510200	149.53
1511100	153.06
1512000	157.95
1512900	163.24
1513800	167.53
1514700	169.82
1515600	169.06
1516500	165.93
1517400	161.24
1518300	156.19
1519200	151.42
1520100	147.13
1521000	143.24
1521900	139.47
1522800	135.94
1523700	132.94
1524600	130.41
1525500	129.01
1526400	128.73
1527300	130.01
1528200	133.02
1529100	138.47
1530000	146.13
1530900	155.87
1531800	167.05
1532700	179.28
1533600	191.99
1534500	204.33
1535400	215.64
1536300	225.38
1537200	232.68
1538100	237.09
1539000	237.97
1539900	234.8
1540800	227.67
1541700	217.56
1542600	206.5
1543500	196
1544400	187.58
1545300	180.64
1546200	174.35
1547100	167.77
1548000	160.24
1548900	151.82
1549800	142.76
1550700	133.18
1551600	123.43
1552500	113.61
1553400	103.95
1554300	94.37
1555200	85.15
1556100	76.57
1557000	69.15
1557900	62.86
1558800	58.17
1559700	54.92
1560600	52.8
1561500	51.39
1562400	50.51
1563300	49.87
1564200	49.63
1565100	49.27
1566000	48.87
1566900	48.63
1567800	48.27
1568700	48.27
1569600	48.35
1570500	48.87
1571400	49.51
1572300	50.39
1573200	51.55
1574100	54.32
1575000	60.09
1575900	70.28
1576800	85.63
1577700	104.27
1578600	123.43
1579500	140.47
1580400	153.14
1581300	161.88
1582200	167.17
1583100	169.78
1584000	170.54
1584900	169.78
1585800	167.65
1586700	164.65
1587600	160.88
1588500	156.95
1589400	153.06
1590300	149.89
1591200	147.77
1592100	146.37
1593000	145.76
1593900	145.76
1594800	146.25
1595700	147.37
1596600	149.53
1597500	153.06
1598400	157.95
1599300	163.24
1600200	167.53
1601100	169.78
1602000	169.02
1602900	165.89
1603800	161.2
1604700	156.19
1605600	151.38
1606500	147.13
1607400	143.24
1608300	139.47
1609200	135.94
1610100	132.9
1611000	130.37
1611900	128.97
1612800	128.73
1613700	129.97
1614600	133.02
1615500	138.43
1616400	146.09
1617300	155.83
1618200	167.01
1619100	179.24
1620000	191.95
1620900	204.29
1621800	215.64
1622700	225.34
1623600	232.64
1624500	237.05
1625400	237.93
1626300	234.76
1627200	227.63
1628100	217.52
1629000	206.46
1629900	196
1630800	187.58
1631700	180.6
1632600	174.31
1633500	167.77
1634400	160.2
1635300	151.78
1636200	142.72
1637100	133.14
1638000	123.43
1638900	113.61
1639800	103.95
1640700	94.37
1641600	85.11
1642500	76.57
1643400	69.15
1644300	62.86
1645200	58.17
1646100	54.88
1647000	52.8
1647900	51.39
1648800	50.51
1649700	49.87
1650600	49.63
1651500	49.27
1652400	48.87
1653300	48.59
1654200	48.27
1655100	48.27
1656000	48.35
1656900	48.87
1657800	49.51
1658700	50.35
1659600	51.51
1660500	54.28
1661400	60.09
1662300	70.28
1663200	85.63
1664100	104.27
1665000	123.39
1665900	140.43
1666800	153.14
1667700	161.84
1668600	167.13
1669500	169.74
1670400	170.5
1671300	169.74
1672200	167.61
1673100	164.61
1674000	160.84
1674900	156.91
1675800	153.02
1676700	149.85
1677600	147.73
1678500	146.33
1679400	145.72
1680300	145.72
1681200	146.21
1682100	147.33
1683000	149.49
1683900	153.02
1684800	157.91
1685700	163.2
1686600	167.49
1687500	169.74
1688400	168.98
1689300	165.85
1690200	161.2
1691100	156.15
1692000	151.38
